name,bus,phases_present,conn,model,kv_nom,P_A_kW,Q_A_kvar,P_B_kW,Q_B_kvar,P_C_kW,Q_C_kvar
671,671,3,delta,1,4.16,385.0,220.0,385.0,220.0,385.0,220.0
634a,634,1,wye,1,0.277,160.0,110.0,0.0,0.0,0.0,0.0
634b,634,1,wye,1,0.277,0.0,0.0,120.0,90.0,0.0,0.0
634c,634,1,wye,1,0.277,0.0,0.0,0.0,0.0,120.0,90.0
645,645,1,wye,1,2.4,0.0,0.0,170.0,125.0,0.0,0.0
646,646,1,delta,2,4.16,0.0,0.0,115.0,66.0,115.0,66.0
692,692,1,delta,5,4.16,85.0,75.5,0.0,0.0,85.0,75.5
675a,675,1,wye,1,2.4,485.0,190.0,0.0,0.0,0.0,0.0
675b,675,1,wye,1,2.4,0.0,0.0,68.0,60.0,0.0,0.0
675c,675,1,wye,1,2.4,0.0,0.0,0.0,0.0,290.0,212.0
611,611,1,wye,5,2.4,0.0,0.0,0.0,0.0,170.0,80.0
652,652,1,wye,2,2.4,128.0,86.0,0.0,0.0,0.0,0.0
670a,670,1,wye,1,2.4,17.0,10.0,0.0,0.0,0.0,0.0
670b,670,1,wye,1,2.4,0.0,0.0,66.0,38.0,0.0,0.0
670c,670,1,wye,1,2.4,0.0,0.0,0.0,0.0,117.0,68.0
