bus,phase,V_mag_V,V_pu,V_ang_deg
611,C,2354.9153795213656,0.9804887223212378,119.22492361186872
632,A,2387.410418721248,0.9940183037847327,-0.5482099113825875
632,B,2391.6003251093834,0.9957628063672347,-120.15502496209062
632,C,2376.0474471514417,0.989287235495342,119.54608405834654
633,A,2387.418911559469,0.9940218398489874,-0.5481428447088779
633,B,2391.5989575409853,0.9957622369686894,-120.15500750094755
633,C,2376.054418364351,0.9892901380181665,119.54610559386552
634,A,277.12812921102034,1.0,0.0
634,B,277.12812921102034,1.0,-119.99999999999999
634,C,277.12812921102034,1.0,119.99999999999999
645,B,2389.629298416875,0.9949421529118262,-120.17394442908747
645,C,2375.3842526103226,0.9890111088990631,119.51770760821942
646,B,2389.483757993462,0.9948815559387718,-120.17138372942821
646,C,2374.5494167222596,0.9886635179918258,119.50680112189443
650,A,2401.7771198288438,1.0,0.0
650,B,2401.7771198288438,1.0,-119.99999999999999
650,C,2401.7771198288438,1.0,119.99999999999999
652,A,2369.2477674719003,0.9864561319664575,-1.1859514752600493
670,A,2382.0321858535635,0.9917790315295004,-0.7533232844559324
670,B,2390.835886540344,0.9954445259728015,-120.18169572549914
670,C,2368.397910514805,0.9861022869114444,119.43058739166977
671,A,2370.530256954139,0.9869901071932389,-1.1650406450280442
671,B,2390.8306090151345,0.9954423286310224,-120.24169387050996
671,C,2355.182688483309,0.9806000186441716,119.24831892940665
675,A,2369.476901598791,0.9865515338774005,-1.2636304248823544
675,B,2393.1067547616,0.9963900209575393,-120.23777310511977
675,C,2353.142606175197,0.9797506133054044,119.24404986301073
680,A,2370.5873078076224,0.9870138607934428,-1.1641656401534433
680,B,2390.836748171178,0.9954448847200087,-120.24145182711672
680,C,2355.2436695773313,0.980625408632909,119.24888645519351
684,A,2370.2538884653777,0.9868750388605115,-1.17273565378184
684,C,2354.9269001584994,0.980493519034904,119.23549778447806
692,A,2370.5872837331112,0.9870138507698186,-1.1641655733267802
692,B,2390.8367444712353,0.9954448831795066,-120.241451904207
692,C,2355.2436545413925,0.9806254023725701,119.24888648127539
rg60,A,2401.7771198288438,1.0,0.0
rg60,B,2401.7771198288438,1.0,-119.99999999999999
rg60,C,2401.7771198288438,1.0,119.99999999999999
sourcebus,A,66395.28095680696,1.0,0.0
sourcebus,B,66395.28095680695,0.9999999999999998,-119.99999999999999
sourcebus,C,66395.28095680695,0.9999999999999998,119.99999999999999
